ga:pagePath,ga:source,ga:bounces,ga:sessions,ga:goalCompletionsAll,bounceRate,goalConversionRateAll,fromAvrg%
ct220.infusionsoft.com/app/storeFront/showStoreFront,(direct),6,74,0,8.11,0.0,-90.35
ct220.infusionsoft.com/app/storeFront/showStoreFront,FYOB-Earlybird-2nd-Email,0,0,0,,,
ct220.infusionsoft.com/app/storeFront/showStoreFront,credit101.help,0,0,0,,,
ct220.infusionsoft.com/app/storeFront/showStoreFront,toxicclient.com,1,4,0,25.0,0.0,-70.24
www.corporatedirect.com/sign-up/,(direct),3,7,0,42.86,0.0,-48.98
www.corporatedirect.com/sign-up/,google,1,4,0,25.0,0.0,-70.24
