ga:pagePath,ga:bounces,ga:sessions,ga:goalCompletionsAll,bounceRate,goalConversionRateAll,fromAvrg%
www.corporatedirect.com/sign-up/,4,11,0,36.36,0.0,-56.71
ct220.infusionsoft.com/app/storeFront/showStoreFront,7,78,0,8.97,0.0,-89.32
